z_lo,z_hi,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,1156.0,0.94303,0.070867,4990
2.0,2.4,1157.0,1.023613,0.062691,5000
2.0,2.4,1158.0,0.949576,0.063903,5000
2.0,2.4,1159.0,0.928136,0.060635,5000
2.0,2.4,1160.0,0.953723,0.058575,5000
2.0,2.4,1161.0,0.997569,0.057478,5000
2.0,2.4,1162.0,1.016427,0.0566,5000
2.0,2.4,1163.0,0.985387,0.065796,5000
2.0,2.4,1164.0,1.010725,0.054226,5000
2.0,2.4,1165.0,1.076427,0.068104,5000
2.0,2.4,1166.0,1.030061,0.058414,5000
2.0,2.4,1167.0,0.964817,0.059877,5000
2.0,2.4,1168.0,0.952203,0.067471,5000
2.0,2.4,1169.0,0.924643,0.055615,5000
2.0,2.4,1170.0,0.964508,0.061524,5000
2.0,2.4,1171.0,0.878986,0.053021,5000
2.0,2.4,1172.0,0.919814,0.065621,5000
2.0,2.4,1173.0,0.91647,0.05835,5000
2.0,2.4,1174.0,0.872352,0.053241,5000
2.0,2.4,1175.0,0.774769,0.051919,5000
2.0,2.4,1176.0,0.957058,0.052561,5000
2.0,2.4,1177.0,0.952959,0.058227,5000
2.0,2.4,1178.0,0.960313,0.051025,5000
2.0,2.4,1179.0,1.025508,0.060316,5000
2.0,2.4,1180.0,1.001475,0.050211,5000
2.0,2.4,1181.0,0.946387,0.05817,5000
2.0,2.4,1182.0,0.889174,0.053248,5000
2.0,2.4,1183.0,0.869208,0.05956,5000
2.0,2.4,1184.0,0.834703,0.052445,5000
2.0,2.4,1185.0,0.855769,0.049741,5000
2.0,2.4,1186.0,0.79326,0.06322,5000
2.0,2.4,1187.0,0.818486,0.049854,5000
2.0,2.4,1188.0,0.711896,0.053637,5000
2.0,2.4,1189.0,0.807945,0.052859,5000
2.0,2.4,1190.0,0.777001,0.049561,5000
2.0,2.4,1191.0,0.7209,0.04877,5000
2.0,2.4,1192.0,0.683794,0.059925,5000
2.0,2.4,1193.0,0.870641,0.051863,5000
2.0,2.4,1194.0,0.939015,0.049369,5000
2.0,2.4,1195.0,0.890952,0.05264,5000
2.0,2.4,1196.0,0.911404,0.061729,5000
2.0,2.4,1197.0,0.875505,0.064888,5000
2.0,2.4,1198.0,0.891055,0.057586,5000
2.0,2.4,1199.0,0.798784,0.06137,5000
2.0,2.4,1200.0,0.671243,0.049828,5000
2.0,2.4,1201.0,0.525274,0.053887,5000
2.0,2.4,1202.0,0.460682,0.051514,5000
2.0,2.4,1203.0,0.478993,0.050571,5000
2.0,2.4,1204.0,0.474398,0.045781,5000
2.0,2.4,1205.0,0.474994,0.05598,5000
2.0,2.4,1206.0,0.442486,0.045406,5000
2.0,2.4,1207.0,0.432676,0.047347,5000
2.0,2.4,1208.0,0.478603,0.055268,5000
2.0,2.4,1209.0,0.580442,0.057512,5000
2.0,2.4,1210.0,0.535027,0.050281,5000
2.0,2.4,1211.0,0.710333,0.053636,5000
2.0,2.4,1212.0,1.0942,0.050267,5000
2.0,2.4,1213.0,2.647786,0.064451,5000
2.0,2.4,1214.0,7.843149,0.118245,5000
2.0,2.4,1215.0,17.148445,0.27383,5000
2.0,2.4,1216.0,14.753016,0.206175,5000
2.0,2.4,1217.0,5.254147,0.095334,5000
2.0,2.4,1218.0,1.672342,0.049459,5000
2.0,2.4,1219.0,0.751721,0.055438,5000
2.0,2.4,1220.0,0.595845,0.045444,5000
2.0,2.4,1221.0,0.522477,0.049049,5000
2.0,2.4,1222.0,0.580711,0.043227,5000
2.0,2.4,1223.0,0.587422,0.043329,5000
2.0,2.4,1224.0,0.514814,0.054558,5000
2.0,2.4,1225.0,0.624656,0.042365,5000
2.0,2.4,1226.0,0.554856,0.04936,5000
2.0,2.4,1227.0,0.564298,0.050093,5000
2.0,2.4,1228.0,0.53923,0.047054,5000
2.0,2.4,1229.0,0.524215,0.042257,5000
2.0,2.4,1230.0,0.576254,0.052839,5000
2.0,2.4,1231.0,0.677354,0.043736,5000
2.0,2.4,1232.0,0.841335,0.047573,5000
2.0,2.4,1233.0,0.768817,0.04445,5000
2.0,2.4,1234.0,0.848983,0.053096,5000
2.0,2.4,1235.0,0.793591,0.050696,5000
2.0,2.4,1236.0,0.762145,0.055232,5000
2.0,2.4,1237.0,0.845659,0.043894,5000
2.0,2.4,1238.0,0.785502,0.046244,5000
2.0,2.4,1239.0,0.820544,0.044998,5000
2.0,2.4,1240.0,0.909385,0.047009,5000
2.0,2.4,1241.0,0.858836,0.043559,5000
2.0,2.4,1242.0,0.850088,0.049834,5000
2.0,2.4,1243.0,0.90169,0.042874,5000
2.0,2.4,1244.0,0.837393,0.041221,5000
2.0,2.4,1245.0,0.846813,0.053114,5000
2.0,2.4,1246.0,0.918494,0.040941,5000
2.0,2.4,1247.0,0.803615,0.052459,5000
2.0,2.4,1248.0,0.789424,0.042047,5000
2.0,2.4,1249.0,0.880463,0.041319,5000
2.0,2.4,1250.0,0.907009,0.038814,5000
2.0,2.4,1251.0,0.759408,0.042696,5000
2.0,2.4,1252.0,0.895392,0.042104,5000
2.0,2.4,1253.0,0.806435,0.046672,5000
2.0,2.4,1254.0,0.830624,0.045158,5000
2.0,2.4,1255.0,0.814584,0.049651,5000
2.0,2.4,1256.0,0.784842,0.037972,5000
2.0,2.4,1257.0,0.713757,0.037759,5000
2.0,2.4,1258.0,0.715444,0.039308,5000
2.0,2.4,1259.0,0.643477,0.047467,5000
2.0,2.4,1260.0,0.808714,0.040181,5000
2.0,2.4,1261.0,0.886289,0.03973,5000
2.0,2.4,1262.0,0.919471,0.044187,5000
2.0,2.4,1263.0,0.866333,0.045169,5000
2.0,2.4,1264.0,0.9786,0.037608,5000
2.0,2.4,1265.0,0.913276,0.045395,5000
2.0,2.4,1266.0,0.903856,0.042388,5000
2.0,2.4,1267.0,0.88016,0.047446,5000
2.0,2.4,1268.0,0.893133,0.042067,5000
2.0,2.4,1269.0,0.916088,0.037594,5000
2.0,2.4,1270.0,0.892582,0.046967,5000
2.0,2.4,1271.0,0.859678,0.053378,5000
2.0,2.4,1272.0,0.918994,0.03636,5000
2.0,2.4,1273.0,0.883425,0.03659,5000
2.0,2.4,1274.0,0.877243,0.037725,5000
2.0,2.4,1275.0,0.86647,0.049191,5000
2.0,2.4,1276.0,0.869313,0.042782,5000
2.0,2.4,1277.0,0.804233,0.03814,5000
2.0,2.4,1278.0,0.809495,0.040655,5000
2.0,2.4,1279.0,0.885079,0.04315,5000
