z_lo,z_hi,logL_lo,logL_hi,logL_med,z_med,wave_rest,flux_norm,err_norm,n_contrib
2.0,2.4,42.0,42.5,42.466,2.2317,1115.0,0.823291,0.352341,388
2.0,2.4,42.0,42.5,42.466,2.2317,1116.0,0.612053,0.316644,389
2.0,2.4,42.0,42.5,42.466,2.2317,1117.0,0.917122,0.312699,393
2.0,2.4,42.0,42.5,42.466,2.2317,1118.0,1.390102,0.339168,395
2.0,2.4,42.0,42.5,42.466,2.2317,1119.0,0.908981,0.329418,398
2.0,2.4,42.0,42.5,42.466,2.2317,1120.0,0.968876,0.366607,405
2.0,2.4,42.0,42.5,42.466,2.2317,1121.0,0.702489,0.351224,405
2.0,2.4,42.0,42.5,42.466,2.2317,1122.0,0.543804,0.276962,406
2.0,2.4,42.0,42.5,42.466,2.2317,1123.0,0.473033,0.310896,407
2.0,2.4,42.0,42.5,42.466,2.2317,1124.0,0.851541,0.38546,407
2.0,2.4,42.0,42.5,42.466,2.2317,1125.0,0.969678,0.320833,407
2.0,2.4,42.0,42.5,42.466,2.2317,1126.0,0.816119,0.30149,407
2.0,2.4,42.0,42.5,42.466,2.2317,1127.0,0.927546,0.305683,407
2.0,2.4,42.0,42.5,42.466,2.2317,1128.0,0.496223,0.288838,407
2.0,2.4,42.0,42.5,42.466,2.2317,1129.0,0.817973,0.269677,407
2.0,2.4,42.0,42.5,42.466,2.2317,1130.0,0.708564,0.27504,407
2.0,2.4,42.0,42.5,42.466,2.2317,1131.0,0.755341,0.283831,407
2.0,2.4,42.0,42.5,42.466,2.2317,1132.0,0.946533,0.307487,407
2.0,2.4,42.0,42.5,42.466,2.2317,1133.0,1.010602,0.338593,409
2.0,2.4,42.0,42.5,42.466,2.2317,1134.0,0.290163,0.303939,415
2.0,2.4,42.0,42.5,42.466,2.2317,1135.0,1.309548,0.287946,419
2.0,2.4,42.0,42.5,42.466,2.2317,1136.0,0.942429,0.304,419
2.0,2.4,42.0,42.5,42.466,2.2317,1137.0,0.510163,0.2782,419
2.0,2.4,42.0,42.5,42.466,2.2317,1138.0,0.210428,0.251656,420
2.0,2.4,42.0,42.5,42.466,2.2317,1139.0,0.658906,0.318285,421
2.0,2.4,42.0,42.5,42.466,2.2317,1140.0,1.253371,0.355424,421
2.0,2.4,42.0,42.5,42.466,2.2317,1141.0,0.579257,0.267809,422
2.0,2.4,42.0,42.5,42.466,2.2317,1142.0,0.968282,0.293089,423
2.0,2.4,42.0,42.5,42.466,2.2317,1143.0,0.805551,0.295907,425
2.0,2.4,42.0,42.5,42.466,2.2317,1144.0,0.679477,0.26699,432
2.0,2.4,42.0,42.5,42.466,2.2317,1145.0,0.745253,0.310276,434
2.0,2.4,42.0,42.5,42.466,2.2317,1146.0,0.631509,0.265519,439
2.0,2.4,42.0,42.5,42.466,2.2317,1147.0,0.802741,0.225866,441
2.0,2.4,42.0,42.5,42.466,2.2317,1148.0,0.850491,0.226921,442
2.0,2.4,42.0,42.5,42.466,2.2317,1149.0,0.902604,0.251277,444
2.0,2.4,42.0,42.5,42.466,2.2317,1150.0,0.772918,0.265,445
2.0,2.4,42.0,42.5,42.466,2.2317,1151.0,0.545323,0.249088,445
2.0,2.4,42.0,42.5,42.466,2.2317,1152.0,0.431892,0.266121,445
2.0,2.4,42.0,42.5,42.466,2.2317,1153.0,-0.069588,0.213809,445
2.0,2.4,42.0,42.5,42.466,2.2317,1154.0,0.738801,0.27671,445
2.0,2.4,42.0,42.5,42.466,2.2317,1155.0,1.089902,0.264674,445
2.0,2.4,42.0,42.5,42.466,2.2317,1156.0,0.5505,0.223901,445
2.0,2.4,42.0,42.5,42.466,2.2317,1157.0,0.569952,0.275305,445
2.0,2.4,42.0,42.5,42.466,2.2317,1158.0,0.535253,0.2313,445
2.0,2.4,42.0,42.5,42.466,2.2317,1159.0,0.482324,0.25366,445
2.0,2.4,42.0,42.5,42.466,2.2317,1160.0,0.888455,0.330063,445
2.0,2.4,42.0,42.5,42.466,2.2317,1161.0,0.651424,0.25481,445
2.0,2.4,42.0,42.5,42.466,2.2317,1162.0,0.748157,0.258805,445
2.0,2.4,42.0,42.5,42.466,2.2317,1163.0,0.742396,0.232027,445
2.0,2.4,42.0,42.5,42.466,2.2317,1164.0,0.602043,0.233251,445
2.0,2.4,42.0,42.5,42.466,2.2317,1165.0,0.27167,0.246272,445
2.0,2.4,42.0,42.5,42.466,2.2317,1166.0,0.647397,0.232557,445
2.0,2.4,42.0,42.5,42.466,2.2317,1167.0,0.510602,0.224508,445
2.0,2.4,42.0,42.5,42.466,2.2317,1168.0,0.897119,0.255673,445
2.0,2.4,42.0,42.5,42.466,2.2317,1169.0,1.242088,0.234674,445
2.0,2.4,42.0,42.5,42.466,2.2317,1170.0,0.863598,0.389059,445
2.0,2.4,42.0,42.5,42.466,2.2317,1171.0,0.871838,0.241794,445
2.0,2.4,42.0,42.5,42.466,2.2317,1172.0,0.859202,0.227877,445
2.0,2.4,42.0,42.5,42.466,2.2317,1173.0,0.311142,0.21035,445
2.0,2.4,42.0,42.5,42.466,2.2317,1174.0,0.792932,0.310262,445
2.0,2.4,42.0,42.5,42.466,2.2317,1175.0,0.305975,0.205755,445
2.0,2.4,42.0,42.5,42.466,2.2317,1176.0,0.54322,0.253548,445
2.0,2.4,42.0,42.5,42.466,2.2317,1177.0,0.480377,0.226671,445
