Star,Gaia_DR3_ID
HD 198896A,2066846225433765504
HD 199547,2162139936140541952
HD 197139,2069603800593460224
HD 199395,2162100010124281984
BD+42  3881,2066803305820861312
BD+43  3745,2066865810486581632
TYC 3179-153-1,2162945362766044032
BD+43  3752,2162957109497830784
BD+43  3758,2162940174445231488
[M60] +43 332,2162068811482018560
BD+43  3770,2162143165955928064
BD+43  3757,2162860047535081984
[CP2005]  4,2162889493831375488
2MASS J20574153+4335555,2162117808468977024
HD 199069,2163301329668342400
HD 199137,2163297000341434240
HD 200060,2162233119762380288
HD 200858,2162817475845771264
BD+45  3398,2162794313061987456
V* V1981 Cyg,2162604441146179840
Cl* NGC 6996     ZS       4,2163018686462369664
Cl* NGC 6996     ZS      11,2163019511101998464
Cl* NGC 6996     ZS      14,2163019201840829952
BSD  40-1037,2163016384359891968
Cl* NGC 6996     ZS      29,2163016109481972352
Cl* NGC 6996     ZS      50,2163022500393482240
Cl* NGC 6996     ZS      51,2163020954205050880
HD 199956,2162224461108306560
BD+44  3620,2162984150611919616
TYC 3179-1209-1,2162998929612532608
StRS 383,2162964535499756160
HD 201837,2165255917745856256
HD 201455,2164335798327254656
BD+45  3463,2164193995677157376
BD+45  3375,2163588400977314432
BD+45  3417,2162756379908458624
BD+44  3731,2164005463792330240
BD+44  3723,2162549023199355008
BD+44  3726,2164053670511654912
LS III +47   41,2164727838614244608
V* V2164 Cyg,1978330797762551680
BD+48  3391,2170772408104053888
HD 206601,1978932642938708864
HD 207945,1979680723168088448
* pi.02 Cyg,1978185009394330240
V* MT Cyg,1981069921751399808
IRAS 22068+5130,2004172997513531520
IRAS 22079+5150,2004188012719571968
IRAS 22011+5125,1980331874552683776
HD 235757,2004338851972842880
HD 211209,2004341875627761280
BD+52  3172,2004312704208893824
HD 211972,2001663052983848960
BD+52  3192,2004720515632558336
BD+51  3305,2004275801848292608
BD+51  3313,2004282570717508608
BD+51  3321,2001282759400699136
BD+51  3323,2001256199322846592
HD 211822,2001284511747551744
BD+51  3333,2001281178853006976
BD+51  3336,2001214967638385536
HD 235802,2001215276872597888
BD+51  3325,2001201326818233088
HD 235794,2001202598128525312
HD 235796,2001188544995602432
BD+51  3374,2001336841625289088
HD 213036,2001333543090468736
BD+51  3389,2000658442950177280
HD 212691,2000527532346786816
V* YY Lac,2000898754960129536
TYC 3982-1724-1,2004771097478814336
TYC 3618-2362-1,2001246441156466560
TYC 3618-2170-1,2001200399105054208
TYC 3619-827-1,2001206343339974528
TYC 3619-1937-1,2001209710598424960
TYC 3619-218-1,2001193870755541248
TYC 3619-1356-1,2001194592313559168
TYC 3619-2132-1,2000997607924964736
TYC 3619-1264-1,2001380615922914560
TYC 3619-476-1,2001379275905511424
TYC 3619-2151-1,2001308494844722176
TYC 3619-1711-1,2001371201364793088
TYC 3619-963-1,2001373125512422784
TYC 3619-684-1,2001395974737965824
TYC 3619-1736-1,2001323200808837760
TYC 3619-1947-1,2001343851015857152
TYC 3619-1033-1,2001349967045301376
TYC 3619-1331-1,2000580411985895552
TYC 3619-724-1,2001332787164942208
TYC 3619-2166-1,2000580549424922240
TYC 3619-2124-1,2000574983146451456
TYC 3619-1417-1,2001332890255430144
TYC 3619-1877-1,2000581064820275584
TYC 3969-1762-1,2004434097165575936
TYC 3969-1270-1,2004524394555495552
TYC 3969-2490-1,2004335931395094016
TYC 3982-1795-1,2004314765793820160
TYC 3982-2245-1,2004538035377581696
TYC 3982-427-1,2004323218289668096
TYC 3618-425-1,2004266937035313408
TYC 3618-107-1,2004262813866748800
TYC 3982-3412-1,2004341738189064064
TYC 3982-1087-1,2004274496177966720
TYC 3982-3422-1,2004342356666327808
TYC 3982-1969-1,2004275286451928832
TYC 3982-682-1,2004275045933775872
TYC 3618-221-1,2004256938351524992
TYC 3618-337-1,2004256732198900480
TYC 3982-799-1,2004273053074670336
GSC 03618-00999,2004255117285942016
GSC 03982-02911,2004354932321251840
TYC 3982-3549-1,2004356890834503168
TYC 3982-1600-1,2004255735766572032
TYC 3982-1996-1,2004282261479708672
TYC 3982-4115-1,2004304182993404288
TYC 3618-2181-1,2001272004802421760
TYC 3982-1987-1,2004286590811822208
TYC 3982-1657-1,2001283790192832000
TYC 3982-3429-1,2004306416380939008
TYC 3618-895-1,2001273379192154496
TYC 3982-2525-1,2004687362793040384
TYC 3982-4198-1,2004665063327315200
TYC 3982-2905-1,2004670973202335744
TYC 3982-2087-1,2004673447099055616
TYC 3982-2917-1,2004672416306923648
TYC 3619-984-1,2001212012697460224
TYC 3982-3643-1,2001665286369836032
TYC 3982-3599-1,2001666729466401024
TYC 3619-1759-1,2001576638239602560
TYC 3982-2008-1,2001593440151817600
TYC 3982-4192-1,2001652882501725568
TYC 3982-850-1,2001648621894221952
TYC 3982-526-1,2001600690061091200
TYC 3619-578-1,2001575779246181248
TYC 3982-2687-1,2001679992328435968
LF  4 +52  500,2001583441468025728
GSC 03982-03452,2001680026695850240
TYC 3619-212-1,2001579112141040128
TYC 3982-361-1,2001602476763406208
TYC 3619-56-1,2001389240227532800
TYC 3982-2833-1,2001681023129671424
TYC 3982-4072-1,2001682672395905152
TYC 3982-1027-1,2001610138989998976
TYC 3982-2535-1,2001688822789273472
TYC 3982-1006-1,2001604400909243008
TYC 3982-3982-1,2001625463428947200
TYC 3982-1363-1,2001616942218329344
TYC 3619-958-1,2001399857387504384
TYC 3982-367-1,2001613300081938176
TYC 3982-247-1,2001615155496006144
TYC 3619-1243-1,2001356873353032192
TYC 3982-908-1,2004364037660543616
TYC 3982-1877-1,2004743163010529152
TYC 3982-3406-1,2004738279613696512
TYC 3982-2343-1,2004699560504858112
2MASS J22205278+5316538,2004681384199046400
TYC 3982-173-1,2004722650245463552
TYC 3982-2635-1,2004724226480683648
TYC 3982-2685-1,2004701828243930112
TYC 3619-2120-1,2001308700998461184
GSC 03619-02061,2000570000984371072
GSC 03982-02146,2004313872440632320
TYC 3618-345-1,2001250152008049792
TYC 3982-148-1,2004282776861800192
TYC 3982-2823-1,2004310608264628864
TYC 3982-82-1,2001284752265698304
GSC 03982-03680,2001666007921721600
TYC 3619-184-1,2001392195165199616
TYC 3982-1387-1,2001612406728426880
TYC 3619-532-1,2001408206804336128
TYC 3982-1586-1,2004744984067447296
TYC 3982-848-1,2004706741690719616
BD+53  2925,2003319192368985216
BD+53  2929,2003306376186624000
HD 235898,2003116538633153792
BD+53  2940,2003209241207619712
HD 212790,2004814665623511936
BD+53  2875,2004815455897486720
HD 235844,2001812449124979584
BD+53  2896,2001829491550203136
HD 213188,2001524823754694400
HD 235855,2001815404063132928
HD 213308,2001527813052300672
BD+52  3227,2001771732834000768
BD+52  3233,2001566570838165632
BD+52  3234,2001471669238330624
HD 213720,2003282255649179392
HD 235880,2003287478329757312
BD+53  2938,2003043936503965056
HD 235872,2001495583616360320
HD 235873,2001546126793754112
HD 235886,2003062422044343424
BD+52  3248,2002217035041049344
BD+52  3253,2003026206879056384
HD 235909,2003026756634885632
V* SV Lac,2002231706642380160
BD+52  3240,2003072455087572864
IRC +50438,2002161578421334784
BD+51  3403,2000682804005214976
BD+51  3406,2000706615304438656
BD+51  3408,2000690500587193984
LF  4 +51  377,2000671156053925120
IRAS 22323+5219,2002206692759279744
TYC 3632-914-1,2000690947257559168
TYC 3632-425-1,2000641778479745792
TYC 3632-478-1,2000644252377501824
TYC 3632-287-1,2000639545096798720
TYC 3632-318-1,2000640816403512576
TYC 3983-153-1,2001724866149947136
TYC 3983-2284-1,2001721052219020160
TYC 3983-1191-1,2001557912183538176
TYC 3983-1103-1,2001557602945909248
TYC 3632-632-1,2001439371083399552
TYC 3983-367-1,2001463938296849920
GSC 03632-00776,2000707852248677888
TYC 3983-1673-1,2001494209226836736
GSC 03632-00455,2000710704114412160
TYC 3983-1821-1,2001493556392006912
GSC 03983-02275,2002997963172772736
BD+51  3416,2002219886891023360
TYC 3983-2290-1,2002983394647328256
TYC 3983-1695-1,2002986452660809216
TYC 3983-22-1,2002157008579397120
TYC 3983-1187-1,2002236654451750656
TYC 3983-1637-1,2003011432191168640
TYC 3983-3017-1,2002214939097044608
TYC 3983-2817-1,2002255930265399936
BD+51  3425,2002165323633004160
TYC 3983-2949-1,2002244763350462080
TYC 3983-1019-1,2001791008648416896
TYC 3983-114-1,2001790699412366336
TYC 3983-653-1,2001743386053486848
TYC 3983-242-1,2001834130114260736
GSC 03983-00533,2001744038884018432
TYC 3983-767-1,2001749227204867072
TYC 3983-630-1,2001824543755163008
TYC 3983-1100-1,2001824509394132480
TYC 3983-1330-1,2003333314222029312
TYC 3983-856-1,2003279609936049280
TYC 3983-568-1,2003276414480422784
TYC 3983-762-1,2003328778739201792
TYC 3983-629-1,2001562035352556032
TYC 3983-1498-1,2003071939693315072
TYC 3983-714-1,2003261502367306880
TYC 3983-977-1,2003066235967190400
TYC 3983-1185-1,2003047269399159168
TYC 3983-541-1,2003006827988878848
GSC 03983-01043,2003003735609124352
TYC 3983-194-1,2003298713964706432
TYC 3983-718-1,2003081113742032768
TYC 3983-1564-1,2003103962968372480
TYC 3983-1784-1,2003062593843028352
TYC 3983-266-1,2003299435519295360
TYC 3983-550-1,2003100149037447808
TYC 3983-1618-1,2003085099472101504
BD+53  2930,2003113892933046144
TYC 3983-959-1,2003015658438965376
TYC 3983-1671-1,2003012737861208064
TYC 3983-2677-1,2003018063620771968
TYC 3983-2571-1,2003018372858568576
TYC 3983-3094-1,2003092177578478720
GSC 03983-02748,2003191889537868032
TYC 3983-2762-1,2003040534890072704
TYC 3983-2876-1,2003118527187267456
TYC 3983-937-1,2001515752784142976
