SPT_ID,RA,DEC,XI,THETA_CORE,Y0,Y0_UERR,Y0_LERR,PS_FLAG,REDSHIFT,REDSHIFT_UNC,REDSHIFT_SOURCE,SPECZ,SPECZ_REF,M500C,M500C_UERR,M500C_LERR,LAMBDA,LAMBDA_UNC,FCONT,MCMF_MASK1,MCMF_MASK2,LOS,LAMBDA2,REDSHIFT2,REDSHIFT2_UNC,FCONT2,STRONG_LENS,STRONG_LENS_REF,DUSTY_FLAG
SPT-CL J0102-4915,15.729207498030945,-49.26134710880156,175.38062153944577,1.0,5.016108846570995E-4,3.953777883655934E-6,3.953777883655934E-6,0,0.8701000213623047,0.0,SpecZ_w_MCMF,1.0,2013ApJ...772...25S,14.044740840605925,1.020104025871582,1.1734747019469918,425.2699219496005,24.262686146313644,0.0,0.01978021978021978,0.023730684326710817,0,,,,,3.0,2012ApJ...748....7M,3.0
SPT-CL J2248-4431,342.1892587005253,-44.5294965842299,165.92955991456355,1.25,4.999193252332951E-4,4.022027774905866E-6,4.0220277749059745E-6,0,0.35100001096725464,0.0,SpecZ_w_MCMF,1.0,2004A&A...425..367B,16.31692875477868,1.1991084308426139,1.3652410484630657,450.4642789554624,23.15206261249259,0.0,0.0,0.0011025358324145535,0,,,,,3.0,2012AJ....144...79G,0.0
SPT-CL J2344-4243,356.1845034051993,-42.721151465569996,125.32710290179546,0.75,3.5213419363543883E-4,3.873495340084049E-6,3.873495340084049E-6,2,0.5952,0.0,SpecZ_w_MCMF,1.0,2016ApJS..227....3B,12.66379311749716,0.9392627883623952,1.0677992925557884,388.96189087831345,20.968771860460315,0.0,0.008791208791208791,0.012141280353200883,0,,,,,3.0,2015ApJS..216...27B,0.0
SPT-CL J2106-5844,316.520120286483,-58.74444011035004,92.19860027685208,0.75,2.695993698597231E-4,4.022897847727328E-6,4.022897847727328E-6,0,1.1319999694824219,0.0,SpecZ_w_MCMF,1.0,2011ApJ...731...86F,8.718494458596458,0.632474389466573,0.7315918609877654,145.66277342211546,12.747714568920964,0.0,0.015418502202643172,0.028114663726571114,0,,,,,0.0,,0.0
SPT-CL J0232-4421,38.07255133446272,-44.35153591666245,83.2062921657611,1.25,2.55432263426853E-4,4.039891787960758E-6,4.039891787960812E-6,0,0.28360000252723694,0.0,SpecZ_w_MCMF,1.0,1999ApJ...514..148D,11.01031034425484,0.8292079741366276,0.9206592979391477,398.0854143124074,19.81342034397457,0.0,0.0,0.008849557522123894,0,,,,,3.0,2024ApJS..274...16S,0.0
SPT-CL J2337-5942,354.3531148582604,-59.70732293571786,79.9268112218769,0.5,2.0931087946863058E-4,3.641894234359441E-6,3.641894234359441E-6,0,0.775,0.0,SpecZ_w_MCMF,1.0,2010ApJ...723.1736H,9.056075532115454,0.6820164696023525,0.761680248776031,263.2717136881206,18.449330139921656,0.0,0.0,0.02201430930104568,0,,,,,3.0,2015ApJS..216...27B,0.0
SPT-CL J0245-5302,41.37655944671934,-53.03764409868904,77.93064944715952,1.25,2.3460253103586902E-4,4.02255780698342E-6,4.0225578069834475E-6,0,0.3002007290123556,0.0,SpecZ_w_MCMF,1.0,1994A%26A...289L..34E,10.522794779503855,0.7728987881304903,0.8770784833330882,365.7740691811268,19.23302645355488,0.0,0.0,0.0,0,,,,,3.0,2019ApJS..243...17J,0.0
SPT-CL J0040-4407,10.208275449146528,-44.13362131114339,69.32922195132748,1.0,1.9770352969780106E-4,3.981249601041619E-6,3.981249601041646E-6,0,0.3498,0.0,SpecZ_w_MCMF,1.0,2016ApJS..227....3B,9.64613674261704,0.7212178169035273,0.8070395927160323,303.24793860041547,18.760915823113972,0.0,0.0,0.0,0,,,,,3.0,2015ApJS..216...27B,0.0
SPT-CL J0218.3-6654.3,34.59548481757337,-66.90576331075171,57.039076541765866,0.75,1.562512284699351E-4,3.726097160553513E-6,3.7260971605534857E-6,0,1.277500033378601,0.0683249980211258,MCMF,0.0,,6.218287328813361,0.4559798750235098,0.5266993530988442,169.15525505114397,14.972974278397682,0.0,0.00881057268722467,0.053502482073910645,0,,,,,0.0,,0.0
SPT-CL J0254-5857,43.576887537029414,-58.95056734695964,56.46509103733247,1.5,1.9099452521230235E-4,4.2130389101426675E-6,4.21303891014264E-6,0,0.43799999356269836,0.0,SpecZ_w_MCMF,1.0,2011ApJ...738..139W,8.274463023847595,0.6049872753882841,0.6981174924039788,361.37601014495164,20.18656017954212,0.0,0.13111111111111112,0.06312292358803986,0,,,,,0.0,,0.0
