source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot,M,ra_wrapped
594497587722578816,129.11658268160485,5.061020032172752,0.9485798,-1.9815945017858,-8.73276026738503,0.060689824728843975,16.349539,5964.083,-0.6045,4.3355,0.26511821938750657,229.11658268160485
594686811096979968,129.7709357667087,5.725677684965832,0.7767906,-2.754240744564245,-10.47399548669509,0.48063782031250707,18.410904,5597.913,-1.2227,4.6931,6.819993638021984,229.7709357667087
597871821404985856,130.54091913803697,8.604618405942755,0.777895,-2.234555110560902,-12.31001885227169,0.3946817324922874,17.261686,5786.747,-1.4706,4.7061,5.242921454626295,230.54091913803697
605684396980494464,134.57981206176376,13.85473114229229,0.77960587,-1.9798317363365916,-12.500356691013064,0.22470797618662938,16.948067,5743.6055,-1.3426,4.5302,3.7061591530131945,234.57981206176376
609004131822325376,133.61166414716786,14.956115498602173,0.77560234,-2.890335024797619,-11.7291262278285,0.22697508471410222,16.642889,5764.039,-1.0048,4.6218,3.4227799571396496,233.61166414716786
610476244748356608,135.4073677901853,15.817075474425359,0.85318756,-3.1451947850436044,-12.24183089410658,0.06126122087171782,18.36106,5551.155,-2.0634,4.7538,2.296987426788654,235.4073677901853
610583648995552128,134.78216211294688,15.855311441750883,0.6109028,-3.1758245092777715,-12.512986612779052,0.16196552037002843,18.149502,6238.959,-2.1249,4.6767,4.196614653904385,234.78216211294688
610655873165771008,134.1969697306522,16.148134040085168,0.6735115,-3.2699506378517444,-12.183266763781905,0.07095076415805408,18.747381,6246.149,-2.2878,4.6845,3.0021665967392224,234.1969697306522
610694768389164288,135.03557447574397,16.3019042934862,1.0583439,-3.0813681346379185,-13.338347342561338,0.29238444291431476,18.864021,4935.707,-1.9863,4.8564,6.193792606853755,235.03557447574397
611141307549004032,135.782398083829,17.00262381037048,0.65815735,-3.15027102431185,-12.896669112993425,0.42691484291273435,18.799393,6157.9155,-2.4618,4.6987,6.951098972962228,235.782398083829
611190613773610112,135.84895627013864,17.10613866194897,0.61940575,-2.628602562679787,-12.602990374280155,0.09236343117762538,18.401781,6331.241,-2.9817,4.6694,3.2292813721658487,235.84895627013864
611341899701320960,136.52066720096138,17.871181343618176,0.86740875,-3.3790743389782376,-13.560507057487262,0.23748855988516474,18.325089,5452.4277,-2.5503,4.7719,5.203301970814467,236.52066720096138
611844410875000704,133.60811096346188,17.57547635428793,0.9313717,-2.076546561680165,-12.835699693008756,0.311658975924858,18.95369,5212.6885,-1.6341,4.7817,6.42208777166109,233.60811096346188
612176463386608128,135.73294363655629,18.357881412222888,0.63170433,-3.1784639704918294,-12.96640458580019,0.47352876365168456,18.414385,6278.9785,-1.0261,4.6182,6.791116664801251,235.73294363655629
612394926899159168,135.5199700292141,18.817673660745772,0.88899803,-3.8714090070586638,-13.446190590409904,0.19239073556989883,15.994393,5958.4087,0.257,4.1998,2.415314124111772,235.5199700292141
635315170197116928,136.92375818763412,18.013187743030088,0.6644974,-3.597893743331442,-12.703552258750705,0.11959946440289161,18.268991,6225.178,-2.382,4.6893,3.6576376442096787,236.92375818763412
636332355891777664,137.25707515127272,19.48731399159089,0.66264534,-4.043539998313431,-12.536370415848182,0.17044549654379235,18.30658,6136.6343,-1.4525,4.6787,4.464507244479144,237.25707515127272
636720071179448704,137.5627310473218,19.80886586779081,0.7276974,-3.806836588378838,-12.55424591380056,0.011230458211676621,18.91957,5970.707,-3.8408,4.722,-0.8284416962227201,237.5627310473218
636814388661139200,137.9963750249345,20.427666177909067,0.65953064,-3.4584018322679344,-12.67717625295682,0.35886228121818936,18.808992,6099.9897,-2.2927,4.7061,6.583631453517462,237.9963750249345
636933788752364800,137.9960085473947,20.876129407161756,0.69205093,-3.6206771009619483,-13.014234595343591,0.28370066696922125,17.87345,6098.4897,-2.2336,4.6779,5.137751109593868,237.9960085473947
636941794571065728,138.1348070372775,20.985249102326655,0.6556835,-3.776778512833153,-12.66120994157346,0.20322651998657176,18.978863,6047.9355,-2.6198,4.7137,5.518764664671757,238.1348070372775
637112837348917632,137.216367233983,21.218162817129173,0.7274437,-3.516468196265165,-12.603814026116924,0.07719874594909149,17.734955,5874.6978,-3.0391,4.6827,2.1730060615818942,237.216367233983
637165167230130944,138.4146449985847,21.351490183637072,0.84231186,-4.061485181830468,-12.926974885480677,0.13488054703588379,17.810637,5582.832,-1.8972,4.7004,3.4603831136612584,238.4146449985847
638486196091289088,138.92378872452693,21.586392277695587,0.8329048,-3.6936004940933187,-14.360501473254187,0.5792643333496474,18.117441,5601.9863,-1.6644,4.69,6.931825121379948,238.92378872452693
638625632204757632,139.7232923614662,22.166253023817248,0.8731575,-4.634036043896233,-12.326606417586893,0.3749570107508674,16.684101,5781.822,-0.32,4.4311,4.554008495856168,239.7232923614662
638701872169132544,138.51678083762297,22.022889522097064,0.9360485,-2.7281770100772276,-12.863542036754309,0.1652686730435797,17.638416,5229.298,-0.6122,4.6931,3.7293689908789815,238.51678083762297
638767086952637184,138.19780151109407,22.176156260709156,0.9109497,-2.74937953679623,-13.811308143420911,0.29926494614741384,17.039095,5295.7153,-0.9913,4.6445,4.419374172570537,238.19780151109407
638825945184119808,139.04343764929504,22.26589764399666,0.85761833,-3.3766244883508296,-12.023027425968507,0.024795363034175275,18.203949,5490.219,-1.9183,4.7471,0.17580133096640793,239.04343764929504
639326497852996736,139.55660396356345,23.33748356886061,0.85388756,-3.4291519658264975,-12.482874670026128,0.11625428303441204,17.701345,5507.015,-0.6157,4.6362,3.028390254285897,239.55660396356345
639340069949727872,139.8363202971162,23.4618369346286,0.7253647,-4.570683787838321,-13.505245869896205,0.2815112422825221,16.811111,5920.344,-1.5297,4.6069,4.058590166625395,239.8363202971162
648331635523455360,145.0306266188472,28.680630605579545,0.81690407,-4.728190953565171,-12.359973033792219,0.18887248233625406,18.844355,5599.3237,-2.9008,4.7616,5.225198070791794,245.0306266188472
685157823287092992,136.9855702639691,21.403760879602345,0.756794,-3.0525101468051226,-12.871219569840337,0.30666422031113394,16.85617,5883.357,-1.759,4.6162,4.289486194986997,236.9855702639691
686983248811117824,138.88528014509265,23.268015344975108,0.81923866,-4.683049657931624,-11.255267376275766,0.5365971897983044,18.424002,5660.516,-1.7272,4.7368,7.072243663263134,238.88528014509265
687006102332926080,138.78442661687288,23.457022531243382,1.0000687,-4.283556376174959,-11.329926844636796,0.294309148688514,17.76778,5069.5386,-1.1249,4.6653,5.111799116376055,238.78442661687288
687223771275597824,137.90116709156143,23.458888240106734,0.749485,-3.8850818996977687,-12.492314279195723,0.10959257170975369,16.988113,5874.53,-1.4622,4.5559,2.1870189945550216,237.90116709156143
687475525078387840,139.15149859538994,24.217205886338895,0.9627037,-4.106202723568831,-13.090285785233261,0.09773869055874894,16.217356,5735.791,-1.5893,4.1947,1.1676883097890656,239.15149859538994
687487993367705728,139.18685616611572,24.302514247780568,0.9032879,-4.6759092962390305,-15.329616282643627,0.1933800164418657,17.209127,5405.3384,-0.7142,4.6732,3.641185390253767,239.18685616611572
687552039919626752,140.3868882880279,24.64338944744063,0.8170605,-4.298928610387475,-12.579008239489138,0.13075243104606263,18.907425,5810.8135,-2.316,4.7215,4.489673788453423,240.3868882880279
687566333570832000,140.2718230855571,24.768235056415094,0.66692924,-3.6795074521277766,-13.282802607166808,0.4811860203039563,18.970793,5995.407,-3.8303,4.717,7.382357777762152,240.2718230855571
