source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot
2907424136175900160,84.05562894026053,-28.366047330319265,0.83348274,4.011392849678989,0.4197458943253155,0.11093441541029118,18.326876,5631.229,-1.3039,4.7223
2907473266304916096,83.94567869177814,-28.262462885527732,0.78805923,4.160737371698553,0.06758171668629145,0.14701979858240286,18.436909,5693.5044,-1.0334,4.6752
2907578205242995584,84.32662332117799,-27.915848264502742,0.8196411,3.862964321228693,-0.13789074547272856,-0.08540806651065301,19.771822,,,
2909240731246331392,84.610260360602,-25.30001107680656,0.66444397,4.17257361628452,0.026303511551411887,0.19963766185138257,18.449348,6073.875,-2.4027,4.7088
2917265413782943616,88.62416202844287,-22.649323030955845,0.81801796,3.58714049045436,-0.23134740052434824,-0.4732062234960249,19.751299,,,
2955732485212419840,77.66456923753822,-27.04404205576999,1.175108,4.1003144860031355,-0.15137928446672522,0.09027893476028048,14.685691,5970.8774,-0.0727,2.8745
2955788212410472832,76.48513740851759,-27.650616602641037,0.69758606,4.919536269712472,-0.09731473479957868,-0.2751299492288548,19.32907,,,
2955979802311718912,77.68950205967208,-26.2870206693509,0.6372204,4.263108903168877,0.29642045162724007,0.41845609894955854,19.243029,,,
2956119375866724096,79.15802832588331,-26.341577635164295,0.90527916,4.81265579592332,0.1957543362538441,0.14307067550455077,17.377165,5291.3594,-1.5689,4.39
2956377791161089280,78.56531205704243,-25.95839536656642,0.8389187,4.162696723450258,-0.040068408180580745,0.24676141302637333,18.367744,5371.8247,-1.1379,4.7336
2956448091186385152,78.21461309656867,-25.6422411094667,0.95417976,4.078293968728556,-0.10297637941119768,0.08099301677721693,17.49191,5272.4883,-2.2939,4.7461
2956476201749686912,78.78787176314157,-25.75867694275745,0.9504223,4.0320261747591095,-0.12864323873112862,0.06393224047044894,16.959782,5598.389,-1.5734,4.4398
2956579345386448128,78.68234754777572,-25.201924729511685,0.78071594,4.062718464718419,-0.07421879556627328,-0.17491555866079578,18.862043,5876.4233,-2.4186,4.7295
2957780359979569280,80.41691080827462,-25.424732904500853,0.6203995,4.737925465686534,0.41601884400334666,0.13751470314207884,19.209492,,,
2958006447061085056,80.7446490924499,-24.296933815375866,0.65475273,3.4631661403017704,-0.3372647366680665,-0.4884936250049331,19.600533,,,
2958037194725958400,79.61864358746523,-24.872999040341625,0.7085762,4.095931181876897,-0.591384304944591,0.4271555332377322,19.50648,,,
2965007346831201536,82.53660460671483,-21.39109576769066,1.0177231,3.1322471224137214,-0.553583672227976,0.07831320713241803,17.641281,5018.004,-1.7836,4.6877
4755713627826802304,45.156424068196664,-42.74533449783075,0.9652424,6.697049865243697,-0.7055094710955747,0.1069812391437493,16.429478,5376.073,-1.212,4.2029
4840628395443548800,62.131431405951865,-41.54782030302253,0.9663048,4.910448703938918,0.1503847891869966,0.0849761389877811,16.471605,5929.3574,-0.6373,4.0666
4840647598241484544,62.69114113867062,-41.2979912142743,0.7143059,5.167030676214315,0.26097927596361614,-0.16010435894799765,18.599342,5950.158,-1.7786,4.6905
4845393507039674112,61.80732045277724,-37.85377351679341,1.0065184,4.718071199419087,-0.6850112010135236,0.044928076587481214,15.990493,,,
4853647330374740096,52.08444694551939,-38.0439044868712,0.72478104,6.183403214129042,-0.030881452868194836,-0.08385389748564946,19.657623,,,
4854241002230477056,49.64975971881437,-37.74704388486115,1.0093908,5.4434292045708474,-1.0580496262148844,0.10528055901541544,15.969099,5873.8237,-0.4218,3.625
4854595624798000768,51.190507396695125,-36.649455854668936,0.65096855,6.835127406740381,-0.3786575849029671,-0.3784072386150822,18.909842,6040.755,-2.3635,4.7088
4855135244485439744,56.935500703936334,-39.89060211406426,0.7449951,5.058842759468151,-0.23056938433844004,-0.21958282207896065,18.39458,5770.321,-1.8332,4.6896
4859672379216945152,52.720055180794525,-37.68377665229746,0.7075825,6.194392321890401,0.11168055267627784,0.08877013595482869,17.731897,6020.15,-1.4799,4.637
4860604524559975808,51.48990993324937,-36.40348604325095,0.8905487,4.133750950388951,-0.9003691428606674,-0.02490203865167354,18.49052,5434.626,-1.2534,4.7249
4865020644293217280,66.1377240296781,-39.98017607096534,0.98106575,4.927284727449535,0.2952354498783532,0.04257920857767723,16.999691,5035.1543,-1.5551,4.3186
4867285810044567040,68.88961902387041,-36.792909396765474,0.65442276,5.496410942671869,0.5223531990662338,-0.09930267122244982,18.87471,6302.3823,-2.2301,4.681
4873183075020356608,72.44131194485394,-34.728044212671016,0.78453827,4.967040942086949,0.5352884666560482,0.168103362333179,18.146997,5746.4976,-1.9418,4.7271
4873257261991950976,72.2821416492895,-34.28149258192755,0.9755497,4.880150694181376,0.363605496943733,0.08530719359989626,16.563673,5326.0605,-1.9258,4.2775
4873259697236443776,72.33480921326107,-34.166982679628276,0.8541851,4.922909899963532,0.25145118926211407,0.030853475030173768,18.14032,5430.424,-2.1601,4.7714
4873300997642135168,72.18693278158307,-33.9298221667231,0.93665886,4.91578887479085,0.42480740580044773,0.23001884440293602,17.918995,5277.6924,-0.6443,4.6695
4874266540650330240,72.06158658385249,-32.49739505530128,0.75974655,6.141319377883891,1.0127392439189042,0.2538847635777568,18.789164,5698.9834,-1.684,4.7377
4875438654404772096,75.43359307346483,-31.79126864654812,0.7731552,3.7716897652892145,-0.21163245798323657,0.21232660775908868,19.211712,,,
4875658801545459840,75.38769415432293,-30.72255571645124,0.95394325,4.537849734308042,0.27450945696699763,0.0980633100338695,16.901209,5739.2715,-1.6977,4.6247
4876187765421007104,77.63778870279404,-29.293997526646926,0.7710953,3.909569693083914,0.31640388633842,0.18813424607137536,18.354118,5818.989,-0.8632,4.673
4876198966695737088,77.58940654135635,-29.159126530433305,0.70666504,4.428352708503812,0.3235975493035397,-0.022135177732895778,19.142855,,,
4877173516252235904,75.44756537711194,-28.602874224159006,0.6409912,5.145055010925062,0.4030464407107625,0.39732794984145675,18.978449,6155.4785,-2.242,4.6979
4877303911459070464,76.53946188635372,-28.013822418908635,0.87870026,4.981381700830561,0.2537781836017786,0.03392496654687582,17.487762,5489.653,-3.6598,4.6955
4880806474468560384,71.82826651876725,-28.09394536408196,1.1219168,4.238465903078993,-0.19605107997800333,0.04204706496712744,15.488215,5830.785,-0.4052,3.6354
4919806559925626240,7.626575771282045,-55.95419322341415,0.62664986,9.5224289095047,-4.5448054600606635,0.12012827223843658,19.299397,,,
4919988121079108992,4.716990958602067,-55.79320040868299,0.6322918,8.784398845705592,-4.520919863902375,-0.1824183169594899,19.448097,,,
4920400536723148928,10.171072448151797,-56.01203885697478,0.77332306,9.483588105450465,-3.7787206651335348,-0.2682036444197401,19.826601,,,
4920557736822989952,7.908097283057395,-55.866576185966345,0.65795135,9.247968986930868,-3.892313489041676,0.4625016136236908,19.51731,,,
4921848490457532544,10.762164032834763,-53.19046025530682,0.6449623,8.156813216911646,-3.2128781468520566,-0.01156082081830078,19.039158,,,
4921862474870992512,10.34688270329812,-53.032596979903396,0.6770401,7.595874923259647,-3.2068307235195577,0.1008969402329824,19.748121,,,
4921863819197553152,10.44177480779153,-53.121577551947716,0.61590576,7.544775671684699,-2.8239714227264976,0.06796810088985775,19.78421,,,
4921864845693020160,10.665296257169912,-53.085834488741575,0.6263447,7.4554165778712775,-3.204668270768228,0.22344693818781455,19.995293,,,
4922000601019641216,11.893972500447955,-53.151612091924065,0.6535034,8.055189239470858,-3.1178902035535527,0.2504449063046938,19.930567,,,
