source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot
3534049453661204352,172.02929106099788,-24.22998195320608,1.0061626,-27.480282237804424,-1.4605958730751378,0.7265843815303946,17.182516,5098.5713,-2.0401,4.6492
3534381849769862016,171.1134521046869,-24.75978038472772,1.0679874,-28.138814926095534,-0.9310795084359549,0.5989639065623894,17.3553,4915.993,-1.41,4.7788
3534747536168774016,170.1037560393913,-23.67675100906303,1.5577888,-26.571929457523893,-1.1655993248257948,0.8034231298858237,19.01562,,,
3534921297662364032,172.09714169788288,-23.76970111133131,1.0584888,-27.353683993400868,-1.6049474062317124,0.8343731022334986,17.156988,4983.2905,-1.0415,4.7181
3535090519373835264,171.46845229188384,-23.37245985485166,0.7011776,-28.545625190297507,-2.1696000513680933,0.6726210123987463,15.274693,6289.1313,-1.4975,4.3945
3535160235282839552,171.03802074932557,-23.057183533635264,1.0214195,-26.519275851076642,-1.4895336038539682,0.6359644967937228,17.214247,5031.7,-1.5751,4.773
3535174318479907456,170.65217928754734,-22.961297023444104,1.3197784,-26.915433932562703,-1.577826241526007,0.3028140887225847,18.290216,4363.128,-1.9766,4.7246
3535292863873289216,171.66250939497147,-22.55937131895482,1.1424961,-27.636184010496667,-2.087610644586947,0.5311219506630201,17.762878,4663.348,-1.46,4.7632
3537764046320222592,170.01261201824425,-23.36061421778991,1.6091499,-26.333260441416424,-1.7551499365008854,0.6219228678337678,18.970896,3905.222,-1.0371,4.9272
3538366170671431296,170.53609341513908,-22.02871245114893,0.92220306,-26.889373048706098,-2.335322780182462,0.6744735333931327,16.718288,5262.59,-1.8637,4.379
3540133188936581248,173.4027320312582,-23.67681237283149,1.1327438,-28.65292179588345,-1.740273220925214,0.5783827542779231,17.62797,4823.6587,-1.5195,4.8158
3541323856949784448,172.03227452271676,-21.943520072995238,0.82076454,-27.990346982724944,-2.5040608855076156,0.6661411378188946,16.287668,5618.402,-1.8206,4.6552
3544740241439859456,170.77014175693867,-20.44037558620933,1.7127819,-28.24532392249735,-3.424225221944795,0.86461057065814,19.581512,,,
3544756493595192960,171.49549899851306,-20.664862028898433,1.576786,-28.05307243847973,-2.949190616006702,0.6747053072839615,19.212559,,,
3544772818768291584,171.38620990089427,-20.54605084294134,1.7372513,-27.333368318283437,-2.8931506725475304,0.35743616049327986,19.625662,,,
3545878339053944960,169.35731904895692,-18.981699314796423,1.4846973,-27.478280974739995,-4.162150722070448,0.8400328292032003,19.469515,,,
3559019912483483392,167.75565634907701,-17.552995591954893,0.7895832,-27.036479710242784,-4.461437582597698,0.7244820392673498,15.842798,6009.0884,-1.4358,4.4847
3562518799000234496,166.72205037510187,-15.799011353402829,0.7995739,-26.076512175096266,-5.391541248534518,0.7085562267347436,16.0567,5678.771,-1.7498,4.5056
