source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot
1417410989470219008,269.45660815815233,55.06930283603464,0.7418823,-10.885907130361245,22.90163358546169,0.29644535718607967,16.133465,5961.978,-1.1071,4.2942
1418342855639217664,269.277110339926,56.35132869263099,1.1664677,-10.736697755182202,22.583082544517328,0.16839273112230796,19.53315,,,
1633637746436539008,268.1038772377462,67.29429016220176,1.1120148,-8.643261095144958,14.742671148762533,-0.30217751500949824,19.212753,,,
1638934716718804352,269.7241594990464,70.88850159116684,0.73534966,-9.530105880283225,21.29008480047138,0.16911641482925038,17.229868,5917.2383,-1.3907,4.5942
1655817507308662144,267.83926182693773,75.14467096478349,0.8585434,-8.425794900525984,17.02190682980077,0.11375814624926975,18.767347,5461.5977,-2.4607,4.7733
2041494506657499264,282.9979973712286,30.067702724966484,1.1452179,-4.672273123118149,19.435097296298572,0.3845475985738802,18.844606,4748.7466,-1.8005,4.8787
2041544706232002176,281.95204436211736,29.508047780306036,0.9793472,-4.076539166066869,17.332974894316166,0.4486619381044601,18.246075,5165.3296,-2.7089,4.7879
2041778391116592128,282.45563200464994,30.86073846535967,1.2434483,-4.291360287400451,19.275053053890115,0.5892578137429635,19.249441,,,
2044049432384230528,285.5814078549338,33.81506681029583,0.8520174,-3.093595581989644,20.5290846198114,0.2904137325586185,16.074837,5819.1772,-1.0912,4.2818
2089888553179908992,281.6395128648618,31.27365385332703,0.89869595,-5.411290668133322,19.942918570168708,0.5856306365549031,18.667412,,,
2089966614205801472,280.63095097953453,31.062557295071787,0.974638,-5.464805747132458,18.445481554416794,0.4203496521262676,17.863823,5131.484,-1.9101,4.7707
2090052139894044032,280.2173040197371,31.56813018822569,0.88534546,-5.429612483901661,16.15015120380652,0.179231420110422,18.1383,5299.1733,-2.2613,4.7604
2090081307011691520,280.27719814900104,31.789790165720056,0.99949646,-6.1941361467952625,20.2486075969565,0.2455650667111026,18.587801,4959.7886,-1.7915,4.8115
2090720088906213504,283.1172923515791,33.709129870200044,0.89888763,-4.484720663451621,20.788083678531542,0.20911148677942976,18.002964,5368.122,-1.4616,4.7062
2090838428146539136,280.1916727864345,31.993320009138564,1.5049858,-5.921128524893947,19.780284484928615,0.272245338498515,11.147611,,,
2090841138266064384,280.40289635794653,32.02845187417684,0.888937,-7.066277784254167,17.56984782468964,0.273618499813515,18.12535,5362.688,-2.1932,4.7402
2090843783966016896,280.3973081764375,32.105516680027954,0.9014931,-5.955564885386285,20.09187522947481,0.16905225600736024,17.989452,5367.073,-1.9523,4.7638
2090877082851775488,279.69023269285645,32.04307118170746,0.89008904,-6.019472340149977,19.624393506334414,0.19468880608657368,17.523743,5484.309,-1.9634,4.7402
2091008886801887232,280.20574157005035,32.54199146390773,1.6533604,-6.393372462358016,20.273529576252876,0.5336521314221617,19.944578,,,
2091061006230107264,280.42769783253345,33.07841716112583,1.3165417,-6.938005476975322,23.01824777025303,-0.08576811950372742,19.983932,,,
2091271390908932864,279.99322692187604,33.368592658084474,1.1532707,-5.951176485863993,20.26373498781463,0.22645297522862087,19.296837,,,
2091279912123220992,280.1956766577631,33.529372304020114,1.1383057,-6.176204761007814,20.773959424488485,0.4309731278393978,19.274218,,,
2091291972392167680,279.6202860508315,33.36077530666584,0.7526188,-6.387693664277207,20.39471603474491,0.3872474944105051,17.025019,5883.234,-1.5741,4.563
2091340282185997952,280.0780625527752,33.987333406654244,1.2712078,-7.463842737818924,16.380840704708618,0.26668876452425483,19.75985,,,
2091658835612814976,280.4425204821584,33.76837821602971,1.3746548,-5.9059739273662295,20.391035799118292,0.2854721191516053,19.683624,,,
2091747651242365568,280.51333502193063,34.33382474325277,0.73769,-5.545895784203266,20.26783722438163,0.3545435778570454,16.56544,6264.9614,-1.1941,4.5424
2091858598838334848,280.8627315235723,34.81235493734922,1.3469791,-5.303005094370758,20.62534460750563,0.11270385973684084,19.82236,,,
2092308406474330624,282.9703295732975,34.524706385591706,1.293766,-4.352031806116152,21.54326274123145,0.48533150013826265,19.612522,,,
2093030510735209856,285.325837635849,36.65543018644074,0.7696209,-3.6126067476643144,22.273246145673006,0.25644341042409663,17.197186,5734.5503,-1.8897,4.7375
2094123184773944320,283.5199122243014,37.89950664192376,0.80472946,-4.416340253883382,20.884238692492566,0.3741102526602038,15.4055395,6149.8984,-1.1657,3.9844
2094185749558830976,278.73175784518116,33.165540490530674,0.8496895,-6.5577853720140515,19.956532202872815,0.03805845189048097,17.924623,5476.9614,-1.3658,4.7031
2094227840238948864,278.5953353256173,33.40311880416371,1.0782833,-4.767937928746568,15.06069212107333,0.9624959914613385,19.770802,,,
2094360846785790080,279.7617920937388,34.1732090563317,0.93245316,-6.390279251980554,20.368637944433075,0.33063289267951973,18.472075,5248.124,-1.8695,4.7827
2094410088589297024,278.66595103457377,34.33186925926702,0.7526665,-5.519039659151079,16.615384932952377,0.4477886151329066,17.13765,5921.817,-1.6747,4.6838
2094491929186808704,278.0046333734551,33.9572980526476,1.3484154,-8.583898296861012,20.376691276036745,0.5868634861991907,19.177393,,,
2094641497126401152,278.89534865369865,34.87723930534655,1.1441898,-6.635458370510555,20.471658911763512,-0.0947782741513443,19.149792,,,
2094743515489334016,279.86517283639597,34.435516048727436,0.8274765,-5.930970017798411,20.461590375475737,0.10784436386897452,17.883535,5515.968,-1.3874,4.7095
2094758423317627264,279.77001728488904,34.639083492136606,1.3062191,-6.310556301016312,19.91189943416838,0.21525441880885907,19.473265,,,
2094860682197759872,279.71998645113035,35.22129073088316,0.7329159,-6.2070294349623945,20.536883394415423,0.31534053647706833,17.079124,5898.848,-1.6225,4.6121
2094874593592531456,279.68319470698066,35.51469100956851,0.8475342,-6.181472756650537,20.877530125424435,0.22162867089919802,17.945015,5527.1074,-1.3411,4.7023
2094962558822184960,280.2245235936186,35.700181005470775,0.7742367,-5.820492063506109,20.722215696914716,0.26320343299428406,17.263468,5785.718,-1.3919,4.6939
2095011860748574336,280.6486552146099,36.19328221026124,0.9943924,-6.157323656949096,15.945372994003538,0.22168445410437648,18.345686,5100.682,-1.4151,4.7686
2095130333126326912,279.0393625640991,35.94004967887316,1.0496731,-7.853588207018211,23.558573058264734,0.32926488389902486,18.726952,4941.6743,-2.0055,4.8548
2095161806644395264,279.9617826532678,35.848963151140964,1.3896198,-6.489756773048118,20.5577361106129,0.4666579302574969,19.470314,,,
2095218092195787776,279.90903819419464,36.46389602392281,0.78935623,-5.069515241696023,17.68893578905963,0.4319194294509348,17.19954,5683.0527,-2.8493,4.6669
2095285810942566784,279.6867953751538,36.80932406542641,0.83841705,-6.124817635514564,20.787674700041876,0.31720515886685596,17.841778,5572.1914,-1.223,4.6737
2095454895212944512,277.80186618321454,35.31407075509047,0.7145977,-6.947225322185901,20.29348412666481,0.26522377985582873,16.61957,6331.533,-1.3111,4.4359
2095525233896685056,277.4342127544994,35.67636046323306,0.9468651,-7.46581253485518,21.223509000403453,0.5169583578132316,18.454208,5201.097,-1.4621,4.7742
2095778323430515328,277.23472338806795,36.429636273395396,0.9605217,-6.774280612102305,20.08393364227259,0.37151788387283124,19.087498,,,
2095988192713288832,278.3843676004247,36.7409795648738,0.9798546,-8.858156849833787,24.316016926830507,0.3806805214914565,18.563406,4962.3164,-1.4456,4.8087
2095995172038618752,278.4799417007191,36.84637889111618,0.84929276,-7.24147438932995,21.926566842053465,0.23617164133231397,17.826498,5519.909,-1.9295,4.725
2096126765538774656,278.97739152258634,37.407586518532774,1.2886696,-6.227217650693498,21.487443637662096,0.018100896102989535,19.585749,,,
2096252732637017216,277.84543543262737,37.344016247133936,0.69454765,-7.204063650411781,21.334616459466872,0.2577974887799263,16.958786,6018.5933,-1.4087,4.5796
2096530462403806336,280.8386261241161,36.71604848452995,0.8257122,-5.467351036749803,20.721736098136336,0.24970447045996838,16.685032,6298.0176,-0.9428,4.4829
2096550906448223616,281.071880570279,36.771374835337255,0.9249935,-5.554290552477223,21.195539251417003,0.27445568146878174,18.267305,5293.4746,-1.4481,4.7508
