source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot
613385960537273856,147.42278372696174,12.099353416450029,1.060833,-27.865527043130204,-8.828235019125419,0.5396418084111864,18.430887,4918.3745,-2.201,4.8537
613525293571117696,148.1863197286604,12.650540693626084,0.9958973,-28.23704916613881,-8.814874516527942,0.2511722237680625,18.549267,5037.737,-1.7444,4.7909
615606115031372416,149.71410943913622,14.141301565118368,0.6673956,-27.71688766662382,-8.738693245469776,0.4003786050665392,16.35575,6291.818,-2.1128,4.4379
615642605074122752,150.0427030713975,14.52052278330748,1.2181797,-28.178228705897553,-8.728124541856339,0.4142056626428074,19.103104,,,
615672051369437824,149.58433098139867,14.548652713534251,1.0660324,-27.437325891622482,-8.289245539973066,0.4301442708336161,18.791609,,,
619690186548583168,146.02333211237547,16.046298639745498,0.75819206,-28.12490182809061,-9.198901817726416,0.36322248747624575,17.147966,5810.66,-1.9618,4.6195
619850092475994240,148.00986125027828,16.226743795671815,1.3399792,-28.77325308462038,-9.158141920420052,0.2322035327954664,19.96289,,,
620379335525731456,144.86207141860166,15.988473474703941,0.8575878,-28.662312670605985,-9.492457718284983,0.2655175117740347,17.671011,5523.571,-1.9075,4.6773
621208058056068224,146.8989987962586,18.62015798733827,0.9350662,-27.77149017745576,-9.789820417123565,0.3770972542814437,18.327982,5185.878,-1.8708,4.7579
621432706320436480,145.78757920344816,18.71786991817202,0.7268982,-28.735009144644327,-9.242067097524627,0.32425775785728833,16.381142,6008.3496,-1.7233,4.6816
621507438751096320,152.07421313618144,14.758479778835534,0.66001034,-27.244362114953294,-8.148190764370737,0.3426498156971796,15.970318,6482.301,-2.0573,4.2617
621520388077427200,151.61355463337813,14.796383437271455,1.0286331,-26.99117373883808,-8.122492294119525,0.49252616494698986,18.97025,4784.623,-1.5635,4.8547
621667791354813952,152.6545833503525,15.572774049237784,0.84698296,-27.116027245907876,-7.769340250141705,0.5976218317472806,17.783377,5488.4717,-1.6211,4.7033
622997654963823872,149.08671801339455,16.9383517380364,0.7943268,-27.68228711783178,-8.439996772423864,0.44091844086288884,17.522446,5648.0034,-2.1467,4.6894
623831252281205760,154.5758261159255,17.59956101789725,0.79616165,-26.559125782259798,-7.084717611649362,0.26207134772954416,17.55164,5655.4873,-1.9247,4.6839
626142120780399744,149.7976676766448,17.672164815182395,0.7127304,-27.983512870621364,-8.451440982919758,0.39211581633232645,16.795742,5954.6216,-1.6995,4.5939
628547092012703232,151.239447844608,20.378170122151662,1.0545864,-27.25026696343186,-7.756465232210949,0.25247551114089223,18.61211,4941.658,-1.9789,4.8432
633556746161723264,145.24209981867168,19.52547870560818,0.7115936,-28.69942307452175,-9.324125746077847,0.28341904143323626,16.867311,5990.8438,-1.7808,4.5692
3790795005112603776,170.24197991563705,-1.8798888057634513,1.0496349,-17.073352026081043,-7.960258660904441,0.9346353179983997,19.051386,,,
3795224971821047808,177.50538837291782,0.047047387099533475,0.70950127,-15.368092847568883,-4.570661400017235,0.03670124977653833,18.015818,5874.7007,-1.2239,4.6883
3795861863930724352,175.66792261876626,0.4059514904364301,0.68655586,-16.197783651246247,-4.8740183803282475,0.31483879605649134,16.934725,6045.486,-2.2164,4.6637
3796369696568230656,176.76344041766194,1.4445650854464276,0.799984,-17.97320660741225,-4.196653892049643,0.16155656403016738,18.270142,5546.5825,-1.5748,4.7421
3796388628784153984,176.499803413788,1.649394916541081,1.0681305,-17.296335656136577,-4.906633496522867,0.7828659130336926,19.97082,,,
3796517275940243584,176.9941482323777,1.9857132821890564,0.7710819,-18.210448238695637,-3.9120086141848414,0.36697838338329214,15.938897,5753.335,-0.9686,4.5475
3798763264662931456,171.77323957847838,2.069713578722785,1.1718979,-19.135614437211675,-5.995244331277694,0.5666784921703856,19.985308,,,
3798767181673132032,171.80348993948655,2.1572072846048718,0.8553524,-18.322421702890104,-5.400457983708363,0.6317990307562479,18.495272,5478.255,-1.8443,4.7433
3799013712795686656,174.91704545435266,1.2762024609070455,0.7931843,-15.83269758597603,-4.352896140419588,0.45170958435340963,18.199549,5677.7046,-2.1446,4.7269
3799256326908569856,174.9875772501051,1.7983395126849928,1.0822258,-18.070051900693,-4.535091875262235,0.4038378311745252,19.250046,,,
3799266188153234688,174.46106916002324,1.7767580092985928,0.7195473,-17.950701473859038,-4.856616135243107,0.2535400407277457,17.520731,5969.9795,-1.5735,4.5912
3799346108904420608,174.27640313697498,2.2398718830588193,0.6774998,-16.525047753304182,-5.123654598686241,0.2954575065384145,17.084133,6093.838,-1.3909,4.658
3799584634208425856,175.95411641026234,2.4196998732687085,1.0103531,-17.355907332775086,-3.7285035439142797,-0.361886288496681,19.859573,,,
3800127311916169728,173.44412406833285,2.2749421851091878,0.8417454,-17.78669671570483,-4.78446470581629,0.16152451949939012,17.931368,5509.8335,-2.8857,4.7127
3800471291552337920,172.92471818888092,3.4055572744315845,1.0174046,-15.283413743634954,-4.64623502769652,0.4561031130624405,19.306072,,,
