source_id,ra,dec,bp_rp,pmra,pmdec,parallax,phot_g_mean_mag,teff_gspphot,mh_gspphot,logg_gspphot,M,ra_wrapped
637140290779827072,137.74223959441858,21.114103078698154,0.67565346,-4.021916293562624,-12.74091489369511,0.1474913842952661,17.872625,6138.12,-2.3001,4.6715,3.716458609732932,237.74223959441858
637160769183598336,138.1472489012107,21.27694825684968,0.7465534,-4.024512389185523,-12.668887642268754,0.10842860652090267,18.31349,5909.1226,-1.2281,4.696,3.4892092961319463,238.1472489012107
638884150580988544,138.75243231680972,22.541372123779677,0.6521454,-4.123029881821103,-12.835328976025112,0.19367664311752167,18.745424,6079.636,-3.8009,4.6982,5.180810516280015,238.75243231680972
645518466304168960,140.82282045686912,24.731264813607908,0.63334656,-4.310945485949696,-12.814221454149804,0.06863046691046484,17.906141,6218.2173,-3.1122,4.6893,2.08872604870883,240.82282045686912
646097432190794368,142.74885256105128,26.15537581153664,0.68588257,-4.63289707445957,-13.176670256912502,0.2434207326283176,17.31163,6057.7646,-1.4703,4.4933,4.243418074997688,242.74885256105128
686843164157782912,138.3634729075289,22.55651837495792,0.84902,-4.2034075722855775,-12.849901044398022,0.021311782814911036,17.467972,5558.5957,-2.4673,4.7374,-0.888929289818531,238.3634729075289
687381684337416704,139.13579579864182,23.576389762707937,0.65309334,-3.9832421416543395,-12.738083835449315,0.3305658983370974,18.905634,5937.276,-1.7529,4.7135,6.501924171844074,239.13579579864182
687554861714182656,140.4443017075261,24.71819854391665,0.8312988,-4.190062217290527,-13.019355872329992,0.2564415464065588,17.362246,5534.024,-2.6359,4.7096,4.407187495311186,240.4443017075261
687624573327437056,140.14972714269382,25.06015767177125,0.6782322,-4.294419471085798,-13.098667183651077,0.14563905286086892,18.911894,6130.977,-2.6059,4.6918,4.728283074153664,240.14972714269382
693690136597043840,140.71740368591838,25.785255793084865,0.66148376,-4.528033718916737,-13.114208887451037,0.08685729276782238,17.804195,6167.168,-3.5254,4.6954,2.49822684818454,240.71740368591838
693718792618722432,141.0514380978146,25.639724734530226,1.36905,-4.420309340027962,-12.78224807662134,0.1573844220138122,12.165223,5466.502,-0.1223,1.4643,-1.8499681609943224,241.0514380978146
693823207568129408,141.118030636336,26.263149826910425,0.63318443,-4.35271807248066,-12.949520715896874,0.2713845850802902,18.548018,6440.4766,-4.018,4.59,5.715943380117004,241.118030636336
693979239436838016,140.7057205360164,26.091153369638633,0.60656357,-4.756930303738877,-12.929906542556548,0.14898318407284072,17.947,6354.3975,-2.2304,4.5886,3.8126867624970107,240.7057205360164
693988271750973824,140.96650179388226,26.2797730115918,0.5961075,-4.289359132292033,-13.292615267926621,0.23056365166991408,18.54544,6225.7046,-2.1804,4.6868,5.35939488325643,240.96650179388226
694079668655514112,140.17278022331448,26.81102335441893,0.63567543,-4.111230427685953,-12.769541959518627,0.10978891949779053,18.046236,6357.3213,-1.4581,4.5975,3.2490285928860683,240.17278022331448
